Time,Roll,Pitch,Yaw,aX,aY,aZ
13:16:43.7750,-48.81,-78.81,-124.46,-0.93,-1.42,0.4
13:16:43.8418,-48.13,-78.69,-125.05,-0.99,-1.36,-0.09
13:16:43.9083,-47.49,-78.57,-125.59,-1.05,-1.54,-0.64
13:16:43.9757,-46.79,-78.43,-126.22,-0.87,-2.22,-0.57
13:16:44.4252,-46.15,-78.3,-126.8,-0.93,-1.79,-0.82
13:16:44.1097,-45.52,-78.17,-127.34,-1.05,-2.09,-0.7
13:16:44.1765,-44.86,-78.04,-127.92,-0.63,-2.34,-0.45
13:16:44.2436,-44.26,-77.9,-128.44,-0.51,-2.52,-0.03
13:16:44.3106,-43.67,-77.76,-128.98,0.16,-2.95,0.58
13:16:44.3776,-43.06,-77.62,-129.52,-0.32,-2.58,-0.09
13:16:44.4444,-42.49,-77.49,-130.01,-0.14,-2.89,0.52
13:16:44.5105,-41.94,-77.35,-130.47,-0.75,-2.4,-0.21
13:16:44.5775,-41.34,-77.21,-130.96,0.71,-3.5,1.44
13:16:44.6445,-40.8,-77.06,-131.43,1.08,-3.68,2.6
13:16:44.7123,-40.3,-76.93,-131.88,-0.57,-3.25,-0.51
13:16:44.7769,-39.5,-76.83,-132.53,1.38,-3.92,-0.94
13:16:44.8459,-38.83,-76.71,-133.09,1.08,-3.5,0.77
13:16:44.9112,-38.37,-76.56,-133.48,1.2,-3.5,2.9
13:16:44.9785,-37.92,-76.41,-133.87,0.96,-3.86,2.17
13:16:45.4432,-37.45,-76.26,-134.26,1.02,-3.13,2.29
13:16:45.1118,-36.98,-76.12,-134.63,1.14,-2.52,3.02
13:16:45.1796,-36.39,-76.01,-135.15,0.77,-4.17,-0.39
13:16:45.2453,-35.83,-75.86,-135.61,1.32,-2.89,3.33
13:16:45.3129,-35.45,-75.7,-135.92,1.32,-2.34,3.02
13:16:45.3797,-34.87,-75.57,-136.43,1.26,-1.91,4.3
13:16:45.4465,-34.19,-75.46,-137.01,1.2,-2.58,3.27
13:16:45.5130,-33.55,-75.35,-137.58,0.77,-1.91,4.43
13:16:45.5803,-33.22,-75.18,-137.84,-0.57,-1.12,-1.06
13:16:45.6525,-32.63,-75.05,-138.35,0.23,-0.57,2.29
13:16:45.7139,-31.82,-74.96,-139.09,0.35,-1.85,3.82
13:16:45.7814,-31.33,-74.81,-139.51,0.9,-1.85,2.6
13:16:45.8466,-30.83,-74.66,-139.92,0.65,-1.3,2.84
13:16:45.9142,-30.33,-74.52,-140.31,0.65,-1.3,-1.25
13:16:45.9804,-29.78,-74.38,-140.78,-0.08,-1.3,-1.31
13:16:46.4891,-29.6,-74.16,-140.86,0.29,-2.64,-0.64
13:16:46.1155,-29.21,-73.99,-141.19,0.1,-1.42,1.07
13:16:46.1825,-28.85,-73.83,-141.48,0.04,-0.63,-0.03
13:16:46.2489,-28.48,-73.67,-141.78,-0.14,-2.34,-0.88
13:16:46.3166,-28.13,-73.49,-142.04,0.53,-1.3,1.93
13:16:46.3890,-27.99,-73.31,-142.11,0.35,-2.7,-0.39
13:16:46.4498,-27.75,-73.13,-142.28,0.16,-1.79,-0.51
13:16:46.5164,-27.5,-72.92,-142.44,0.59,-3.31,0.28
13:16:46.5834,-27.21,-72.73,-142.66,0.23,-4.11,-1.43
13:16:46.6499,-26.98,-72.53,-142.82,0.23,-5.57,-1.86
13:16:46.7179,-26.83,-72.33,-142.91,-0.44,-2.64,-1.25
13:16:46.7827,-26.61,-72.14,-143.05,0.04,-4.59,-1.61
13:16:46.8506,-26.39,-71.98,-143.22,-0.99,-2.03,-0.57
13:16:46.9166,-26.15,-71.8,-143.42,0.77,-4.9,-1.06
13:16:46.9846,-25.92,-71.62,-143.59,0.29,-5.57,-2.4
13:16:47.5058,-25.63,-71.45,-143.8,1.26,-5.08,-0.27
13:16:47.1185,-25.4,-71.27,-143.97,0.59,-5.57,-1.31
13:16:47.1845,-25.15,-71.08,-144.16,0.35,-5.87,-2.22
13:16:47.2523,-24.94,-70.89,-144.36,0.04,-4.35,-3.44
13:16:47.3185,-24.75,-70.7,-144.5,0.04,-4.41,-3.07
13:16:47.3848,-24.51,-70.52,-144.67,0.96,-4.59,-1.73
13:16:47.4523,-24.32,-70.33,-144.8,0.35,-5.08,-3.62
13:16:47.5183,-24.09,-70.14,-144.94,0.41,-5.45,-2.53
13:16:47.5850,-23.91,-69.92,-145.06,0.04,-1.0,0.28
13:16:47.6581,-23.76,-69.72,-145.15,0.41,-1.73,0.52
13:16:47.7206,-23.62,-69.52,-145.24,0.65,-4.29,-0.7
13:16:47.7855,-23.51,-69.3,-145.33,0.71,-4.35,-0.27
13:16:47.8525,-23.29,-69.04,-145.54,-0.08,-3.19,-1.25
13:16:47.9407,-23.1,-68.8,-145.73,-0.02,-1.18,0.52
13:16:48.2202,-22.99,-68.65,-145.81,0.59,-1.0,2.29
13:16:48.7360,-22.9,-68.49,-145.87,-0.14,-1.48,-1.12
13:16:48.1228,-22.78,-68.27,-145.96,0.1,-1.36,-0.39
13:16:48.1893,-22.59,-68.08,-146.12,0.35,-1.42,0.22
13:16:48.2545,-22.46,-67.87,-146.2,0.29,-0.93,0.4
13:16:48.3219,-22.35,-67.66,-146.28,0.29,-0.75,0.83
13:16:48.3885,-22.23,-67.45,-146.35,0.35,-0.75,0.1
13:16:48.4556,-22.08,-67.25,-146.45,0.53,-0.81,1.13
13:16:48.5219,-21.93,-67.05,-146.57,0.29,-0.87,0.64
13:16:48.5888,-21.78,-66.84,-146.67,0.35,-1.85,0.34
13:16:48.6558,-21.62,-66.64,-146.79,0.1,-3.31,-1.61
13:16:48.7236,-21.43,-66.48,-146.96,0.47,-1.61,1.07
13:16:48.7886,-21.23,-66.3,-147.11,0.1,-0.81,-0.51
13:16:48.8563,-21.09,-66.1,-147.21,0.23,-0.81,2.35
13:16:48.9223,-20.91,-65.9,-147.34,0.1,-0.81,0.34
13:16:48.9890,-20.76,-65.7,-147.48,0.04,-1.48,0.58
13:16:49.5644,-20.61,-65.48,-147.55,-0.2,-4.29,-1.43
13:16:49.1244,-20.46,-65.28,-147.65,-0.14,-3.25,-1.06
13:16:49.1899,-20.3,-65.1,-147.78,-0.08,-2.34,0.1
13:16:49.2567,-20.18,-64.9,-147.84,-0.08,-2.58,-1.73
13:16:49.3319,-20.06,-64.69,-147.92,-0.38,-2.89,-1.86
13:16:49.3916,-19.92,-64.48,-148.01,-0.08,-3.92,-2.53
13:16:49.4588,-19.76,-64.29,-148.13,-0.32,-3.86,-2.46
13:16:49.5250,-19.58,-64.1,-148.27,-0.2,-4.9,-0.94
13:16:49.5919,-19.42,-63.9,-148.39,0.65,-2.89,-0.15
13:16:49.6641,-19.27,-63.71,-148.5,-0.14,-4.11,-1.0
13:16:49.7265,-19.1,-63.52,-148.61,0.9,-3.43,0.46
13:16:49.7935,-18.99,-63.32,-148.68,1.02,-3.92,-0.45
13:16:49.8595,-18.9,-63.11,-148.76,0.47,-3.98,-0.82
13:16:49.9261,-18.73,-62.91,-148.87,0.9,-3.86,0.22
13:16:49.9929,-18.57,-62.71,-149.0,0.71,-1.3,1.93
13:16:50.6159,-18.45,-62.51,-149.08,0.84,-2.64,0.58
13:16:50.1275,-18.37,-62.3,-149.11,0.77,-2.82,1.19
13:16:50.1939,-18.24,-62.09,-149.23,1.32,-2.95,2.29
13:16:50.2604,-18.13,-61.86,-149.29,-0.2,-3.62,-2.22
13:16:50.3334,-17.99,-61.63,-149.41,-0.32,-4.17,-2.1
13:16:50.4092,-17.86,-61.44,-149.54,-0.08,-2.89,-1.55
13:16:50.4738,-17.71,-61.25,-149.69,0.23,-4.47,-0.76
