UTC,Latitude,Longitude,Altitude
044228.00,0.0,0.0,50.1
044229.00,-1.1230189999456344,-0.2223800004498116,52.6
044230.00,-1.5677789998339902,-0.2223800004498116,54.7
044231.00,-2.3572279996105405,0.0,57.0
044232.00,-2.53513199966701,-0.36692700084331586,57.0
044233.00,-1.601136000002589,-0.6893780007876557,53.9
044234.00,-0.8450439998890033,-1.2119710017435863,52.0
044235.00,-0.6226639999448252,-1.5344220016879262,50.7
044236.00,-0.4225219999445016,-1.7012070015196514,50.2
044237.00,-0.2668559998318869,-1.9569440011267945,50.3
044238.00,0.04447600039334248,-2.0792530000595435,48.9
044239.00,0.4225220004501352,-2.257157001632913,47.5
044240.00,0.7672110003383296,-2.4906560018018356,46.5
044241.00,1.245328000395284,-2.4239420014646385,45.8
044242.00,1.3898750002831548,-2.79086900028542,45.6
044243.00,1.6122550002273328,-3.0243680004543423,45.5
044244.00,1.5344220001710254,-3.346819000398682,45.0
044245.00,1.890230000283964,-3.7915790012983055,45.3
044246.00,1.7679210003399477,-3.9027690005119435,44.9
044247.00,1.9347060001716725,-3.9361260016918096,44.6
044248.00,1.9791820000593816,-3.9361260016918096,44.5
044249.00,2.001420000003236,-3.891650000792833,44.5
044250.00,1.8679920003401094,-3.9694830008491406,44.7
044251.00,2.0458960003965783,-3.925006999950165,44.1
044252.00,2.20156200000356,-3.869412001354612,43.5
044253.00,2.423942000453371,-3.591437000286714,43.0
044254.00,2.79086900028542,-3.713746001241998,43.5
044255.00,2.690798000285258,-3.6692700003430216,43.3
044256.00,2.668560000341404,-3.713746001241998,43.4
044257.00,2.690798000285258,-3.713746001241998,42.9
044258.00,2.7241550004538566,-3.7248650009611084,42.6
044259.00,2.7241550004538566,-3.75822200011844,42.8
044300.00,2.690798000285258,-3.7804600015791943,42.5
044301.00,2.6240840004536947,-3.8026980010174154,42.1
044302.00,2.501775000004045,-3.7915790012983055,41.7
044303.00,2.3238710004532095,-3.747103000399329,41.6
044304.00,2.379466000060029,-3.7359840006802187,41.1
044305.00,2.3461090003970644,-3.6803890000621324,41.1
044306.00,2.290514000284611,-3.6692700003430216,40.8
044307.00,2.3016330000037213,-3.6581510006239117,40.6
044308.00,2.2238000004530476,-3.6136750017474695,40.3
044309.00,2.1570860001158505,-3.591437000286714,40.0
044310.00,1.956944000115527,-3.591437000286714,40.4
044311.00,1.6567310001150417,-3.6136750017474695,40.8
044312.00,1.5344220001710254,-3.602556000005825,40.5
044313.00,1.4454700003956076,-3.6915080018037774,40.3
044314.00,1.4454700003956076,-3.7359840006802187,40.0
044315.00,1.456589000114718,-3.75822200011844,39.8
044316.00,1.011829000226362,-3.9694830008491406,39.9
044317.00,0.8450440003946369,-4.025078001467227,39.7
044318.00,1.0563050001140708,-3.9583640011300307,39.2
044319.00,1.1563760001142327,-3.9361260016918096,38.9
044320.00,1.7568020001152034,-3.713746001241998,38.5
044321.00,2.057015000115689,-3.5691990008484935,37.9
044322.00,2.057015000115689,-3.6136750017474695,37.1
044323.00,2.234919000172158,-3.5469610014102724,36.9
044324.00,2.423942000453371,-3.4468900019157442,36.6
044325.00,2.168205000340595,-3.4802470010730757,36.4
044326.00,1.745683000396093,-3.602556000005825,36.4
044327.00,1.4121130002270095,-3.6915080018037774,36.9
044328.00,1.4009940000022651,-3.713746001241998,35.5
044329.00,1.2564470001143946,-3.8138170007365266,34.2
044330.00,1.1563760001142327,-3.9027690005119435,33.8
044331.00,1.1452570003951223,-3.858293001635502,33.2
044332.00,1.0563050001140708,-3.8805310010737233,32.8
